Trainable Param: 481
Iteration (14600/100000): Loss=6.816e-03
Iteration (14700/100000): Loss=6.755e-03
Iteration (14800/100000): Loss=6.763e-03
Iteration (14900/100000): Loss=6.641e-03
Iteration (15000/100000): Loss=6.606e-03
Iteration (15100/100000): Loss=6.536e-03
Iteration (15200/100000): Loss=6.470e-03
Iteration (15300/100000): Loss=6.417e-03
Iteration (15400/100000): Loss=6.326e-03
Iteration (15500/100000): Loss=5.716e-02
Iteration (15600/100000): Loss=6.210e-03
Iteration (15700/100000): Loss=1.654e-02
Iteration (15800/100000): Loss=6.099e-03
Iteration (15900/100000): Loss=7.795e-03
Iteration (16000/100000): Loss=5.993e-03
Iteration (16100/100000): Loss=1.117e-01
Iteration (16200/100000): Loss=5.891e-03
Iteration (16300/100000): Loss=5.920e-03
Iteration (16400/100000): Loss=5.788e-03
Iteration (16500/100000): Loss=5.755e-03
Iteration (16600/100000): Loss=3.167e-02
Iteration (16700/100000): Loss=5.634e-03
Iteration (16800/100000): Loss=5.577e-03
Iteration (16900/100000): Loss=6.255e-03
Iteration (17000/100000): Loss=5.497e-03
Iteration (17100/100000): Loss=5.528e-03
Iteration (17200/100000): Loss=5.394e-03
Iteration (17300/100000): Loss=5.904e-03
Iteration (17400/100000): Loss=5.329e-03
Iteration (17500/100000): Loss=5.283e-03
Iteration (17600/100000): Loss=5.318e-03
Iteration (17700/100000): Loss=5.175e-03
Iteration (17800/100000): Loss=5.227e-03
Iteration (17900/100000): Loss=5.116e-03
Iteration (18000/100000): Loss=5.915e-03
Iteration (18100/100000): Loss=5.022e-03
Iteration (18200/100000): Loss=1.777e-02
Iteration (18300/100000): Loss=4.972e-03
Iteration (18400/100000): Loss=4.934e-03
Iteration (18500/100000): Loss=1.397e-02
Iteration (18600/100000): Loss=4.858e-03
Iteration (18700/100000): Loss=2.167e-01
Iteration (18800/100000): Loss=4.809e-03
Iteration (18900/100000): Loss=4.776e-03
Iteration (19000/100000): Loss=5.664e-03
Iteration (19100/100000): Loss=4.725e-03
Iteration (19200/100000): Loss=4.699e-03
Iteration (19300/100000): Loss=4.993e-03
Iteration (19400/100000): Loss=4.650e-03
Iteration (19500/100000): Loss=4.622e-03
Iteration (19600/100000): Loss=4.751e-03
Iteration (19700/100000): Loss=4.582e-03
Iteration (19800/100000): Loss=1.216e-02
Iteration (19900/100000): Loss=4.552e-03
Iteration (20000/100000): Loss=4.518e-03
Iteration (20100/100000): Loss=5.446e-03
Iteration (20200/100000): Loss=4.477e-03
Iteration (20300/100000): Loss=4.473e-03
Iteration (20400/100000): Loss=4.439e-03
Iteration (20500/100000): Loss=4.459e-03
Iteration (20600/100000): Loss=4.412e-03
Iteration (20700/100000): Loss=4.386e-03
Iteration (20800/100000): Loss=4.440e-03
Iteration (20900/100000): Loss=4.355e-03
Iteration (21000/100000): Loss=1.760e-01
Iteration (21100/100000): Loss=4.321e-03
Iteration (21200/100000): Loss=4.396e-03
Iteration (21300/100000): Loss=4.354e-03
Iteration (21400/100000): Loss=1.335e-02
Iteration (21500/100000): Loss=4.254e-03
Iteration (21600/100000): Loss=1.929e-01
Iteration (21700/100000): Loss=4.226e-03
Iteration (21800/100000): Loss=4.200e-03
Iteration (21900/100000): Loss=4.371e-03
Iteration (22000/100000): Loss=4.197e-03
Iteration (22100/100000): Loss=4.155e-03
Iteration (22200/100000): Loss=4.629e-03
Iteration (22300/100000): Loss=4.129e-03
Iteration (22400/100000): Loss=4.692e-02
Iteration (22500/100000): Loss=4.107e-03
Iteration (22600/100000): Loss=4.131e-03
Iteration (22700/100000): Loss=4.619e-03
Iteration (22800/100000): Loss=4.057e-03
Iteration (22900/100000): Loss=6.833e-02
Iteration (23000/100000): Loss=4.033e-03
Iteration (23100/100000): Loss=3.661e-02
Iteration (23200/100000): Loss=4.009e-03
Iteration (23300/100000): Loss=3.986e-03
Iteration (23400/100000): Loss=5.172e-03
Iteration (23500/100000): Loss=3.964e-03
Iteration (23600/100000): Loss=3.946e-03
Iteration (23700/100000): Loss=4.523e-03
Iteration (23800/100000): Loss=3.927e-03
Iteration (23900/100000): Loss=3.932e-03
Iteration (24000/100000): Loss=3.916e-03
Iteration (24100/100000): Loss=3.884e-03
Iteration (24200/100000): Loss=5.126e-03
Iteration (24300/100000): Loss=3.862e-03
Iteration (24400/100000): Loss=1.218e-01
Iteration (24500/100000): Loss=3.845e-03
Iteration (24600/100000): Loss=3.824e-03
Iteration (24700/100000): Loss=4.401e-03
Iteration (24800/100000): Loss=3.803e-03
Iteration (24900/100000): Loss=4.659e-02
Iteration (25000/100000): Loss=3.794e-03
Iteration (25100/100000): Loss=3.767e-03
Iteration (25200/100000): Loss=9.657e-03
Iteration (25300/100000): Loss=3.748e-03
Iteration (25400/100000): Loss=3.732e-03
Iteration (25500/100000): Loss=4.460e-03
Iteration (25600/100000): Loss=3.716e-03
Iteration (25700/100000): Loss=3.702e-03
Iteration (25800/100000): Loss=3.826e-03
Iteration (25900/100000): Loss=3.682e-03
Iteration (26000/100000): Loss=3.832e-03
Iteration (26100/100000): Loss=3.674e-03
Iteration (26200/100000): Loss=3.650e-03
Iteration (26300/100000): Loss=7.307e-03
Iteration (26400/100000): Loss=3.634e-03
Iteration (26500/100000): Loss=3.618e-03
Iteration (26600/100000): Loss=4.465e-03
Iteration (26700/100000): Loss=3.601e-03
Iteration (26800/100000): Loss=3.600e-03
Iteration (26900/100000): Loss=3.691e-03
Iteration (27000/100000): Loss=3.572e-03
Iteration (27100/100000): Loss=3.625e-03
Iteration (27200/100000): Loss=3.566e-03
Iteration (27300/100000): Loss=3.541e-03
Iteration (27400/100000): Loss=5.557e-03
Iteration (27500/100000): Loss=3.525e-03
Iteration (27600/100000): Loss=3.663e-03
Iteration (27700/100000): Loss=3.536e-03
Iteration (27800/100000): Loss=3.495e-03
Iteration (27900/100000): Loss=9.730e-03
Iteration (28000/100000): Loss=3.482e-03
Iteration (28100/100000): Loss=3.467e-03
Iteration (28200/100000): Loss=4.624e-03
Iteration (28300/100000): Loss=3.452e-03
Iteration (28400/100000): Loss=7.320e-02
Iteration (28500/100000): Loss=3.445e-03
Iteration (28600/100000): Loss=3.423e-03
Iteration (28700/100000): Loss=4.078e-03
Iteration (28800/100000): Loss=3.410e-03
Iteration (28900/100000): Loss=3.982e-03
Iteration (29000/100000): Loss=3.397e-03
Iteration (29100/100000): Loss=3.381e-03
Iteration (29200/100000): Loss=4.549e-03
Iteration (29300/100000): Loss=3.370e-03
Iteration (29400/100000): Loss=3.357e-03
Iteration (29500/100000): Loss=3.874e-03
Iteration (29600/100000): Loss=3.346e-03
Iteration (29700/100000): Loss=3.401e-03
Iteration (29800/100000): Loss=3.400e-03
Iteration (29900/100000): Loss=3.321e-03
Iteration (30000/100000): Loss=3.167e-02
Iteration (30100/100000): Loss=3.310e-03
Iteration (30200/100000): Loss=3.295e-03
Iteration (30300/100000): Loss=4.545e-03
Iteration (30400/100000): Loss=3.316e-03
Iteration (30500/100000): Loss=3.272e-03
Iteration (30600/100000): Loss=3.565e-03
Iteration (30700/100000): Loss=3.261e-03
Iteration (30800/100000): Loss=1.923e-01
Iteration (30900/100000): Loss=3.249e-03
Iteration (31000/100000): Loss=3.236e-03
Iteration (31100/100000): Loss=4.692e-03
Iteration (31200/100000): Loss=3.227e-03
Iteration (31300/100000): Loss=3.214e-03
Iteration (31400/100000): Loss=3.280e-03
Iteration (31500/100000): Loss=3.217e-03
Iteration (31600/100000): Loss=3.292e-03
Iteration (31700/100000): Loss=3.199e-03
Iteration (31800/100000): Loss=3.196e-03
Iteration (31900/100000): Loss=7.555e-02
Iteration (32000/100000): Loss=3.174e-03
Iteration (32100/100000): Loss=3.160e-03
Iteration (32200/100000): Loss=3.385e-03
Iteration (32300/100000): Loss=3.152e-03
Iteration (32400/100000): Loss=3.166e-03
Iteration (32500/100000): Loss=4.465e-03
Iteration (32600/100000): Loss=3.130e-03
Iteration (32700/100000): Loss=3.569e-03
Iteration (32800/100000): Loss=3.146e-03
Iteration (32900/100000): Loss=3.108e-03
Iteration (33000/100000): Loss=1.107e-02
Iteration (33100/100000): Loss=3.101e-03
Iteration (33200/100000): Loss=3.089e-03
Iteration (33300/100000): Loss=9.780e-03
Iteration (33400/100000): Loss=3.081e-03
Iteration (33500/100000): Loss=3.070e-03
Iteration (33600/100000): Loss=4.461e-03
Iteration (33700/100000): Loss=3.062e-03
Iteration (33800/100000): Loss=3.052e-03
Iteration (33900/100000): Loss=3.268e-03
Iteration (34000/100000): Loss=3.042e-03
Iteration (34100/100000): Loss=3.055e-03
Iteration (34200/100000): Loss=3.042e-03
Iteration (34300/100000): Loss=3.027e-03
Iteration (34400/100000): Loss=3.017e-03
Iteration (34500/100000): Loss=4.317e-03
Iteration (34600/100000): Loss=3.008e-03
Iteration (34700/100000): Loss=1.866e-02
Iteration (34800/100000): Loss=3.000e-03
Iteration (34900/100000): Loss=2.990e-03
Iteration (35000/100000): Loss=3.348e-03
Iteration (35100/100000): Loss=2.978e-03
Iteration (35200/100000): Loss=3.349e-01
Iteration (35300/100000): Loss=2.978e-03
Iteration (35400/100000): Loss=2.964e-03
Iteration (35500/100000): Loss=2.956e-03
Iteration (35600/100000): Loss=2.960e-03
Iteration (35700/100000): Loss=2.945e-03
Iteration (35800/100000): Loss=4.685e-03
Iteration (35900/100000): Loss=2.936e-03
Iteration (36000/100000): Loss=6.294e-02
Iteration (36100/100000): Loss=2.934e-03
Iteration (36200/100000): Loss=2.919e-03
Iteration (36300/100000): Loss=2.975e-03
Iteration (36400/100000): Loss=2.908e-03
Iteration (36500/100000): Loss=1.674e-02
Iteration (36600/100000): Loss=2.899e-03
Iteration (36700/100000): Loss=2.933e-03
Iteration (36800/100000): Loss=2.938e-03
Iteration (36900/100000): Loss=2.881e-03
Iteration (37000/100000): Loss=1.515e-02
Iteration (37100/100000): Loss=2.877e-03
Iteration (37200/100000): Loss=2.866e-03
Iteration (37300/100000): Loss=3.358e-03
Iteration (37400/100000): Loss=2.858e-03
Iteration (37500/100000): Loss=1.016e-01
Iteration (37600/100000): Loss=2.852e-03
Iteration (37700/100000): Loss=2.841e-03
Iteration (37800/100000): Loss=3.144e-03
Iteration (37900/100000): Loss=2.833e-03
Iteration (38000/100000): Loss=2.041e-02
Iteration (38100/100000): Loss=2.837e-03
Iteration (38200/100000): Loss=2.817e-03
Iteration (38300/100000): Loss=2.879e-03
Iteration (38400/100000): Loss=2.812e-03
Iteration (38500/100000): Loss=2.802e-03
Iteration (38600/100000): Loss=3.435e-03
Iteration (38700/100000): Loss=2.798e-03
Iteration (38800/100000): Loss=2.789e-03
Iteration (38900/100000): Loss=2.813e-03
Iteration (39000/100000): Loss=2.786e-03
Iteration (39100/100000): Loss=3.172e-02
Iteration (39200/100000): Loss=2.773e-03
Iteration (39300/100000): Loss=4.263e-02
Iteration (39400/100000): Loss=2.766e-03
Iteration (39500/100000): Loss=2.771e-03
Iteration (39600/100000): Loss=2.861e-03
Iteration (39700/100000): Loss=2.797e-03
Iteration (39800/100000): Loss=7.400e-03
Iteration (39900/100000): Loss=4.237e-03
Iteration (40000/100000): Loss=2.749e-03
Iteration (40100/100000): Loss=6.466e-02
Iteration (40200/100000): Loss=2.731e-03
Iteration (40300/100000): Loss=1.124e-02
Iteration (40400/100000): Loss=2.740e-03
Iteration (40500/100000): Loss=2.714e-03
Iteration (40600/100000): Loss=4.468e-03
Iteration (40700/100000): Loss=2.708e-03
Iteration (40800/100000): Loss=4.780e-03
Iteration (40900/100000): Loss=2.714e-03
Iteration (41000/100000): Loss=2.706e-03
Iteration (41100/100000): Loss=2.751e-03
Iteration (41200/100000): Loss=2.684e-03
Iteration (41300/100000): Loss=5.521e-03
Iteration (41400/100000): Loss=2.679e-03
Iteration (41500/100000): Loss=2.754e-03
Iteration (41600/100000): Loss=2.679e-03
Iteration (41700/100000): Loss=2.663e-03
Iteration (41800/100000): Loss=2.670e-03
Iteration (41900/100000): Loss=2.657e-03
Iteration (42000/100000): Loss=5.359e-03
Iteration (42100/100000): Loss=2.648e-03
Iteration (42200/100000): Loss=3.394e-03
Iteration (42300/100000): Loss=2.681e-03
Iteration (42400/100000): Loss=3.607e-03
Iteration (42500/100000): Loss=2.635e-03
Iteration (42600/100000): Loss=3.045e-03
Iteration (42700/100000): Loss=2.636e-03
Iteration (42800/100000): Loss=2.623e-03
Iteration (42900/100000): Loss=2.622e-03
Iteration (43000/100000): Loss=2.687e-03
Iteration (43100/100000): Loss=2.611e-03
Iteration (43200/100000): Loss=1.545e-02
Iteration (43300/100000): Loss=2.617e-03
Iteration (43400/100000): Loss=2.600e-03
Iteration (43500/100000): Loss=6.285e-02
Iteration (43600/100000): Loss=2.595e-03
Iteration (43700/100000): Loss=2.589e-03
Iteration (43800/100000): Loss=2.687e-03
Iteration (43900/100000): Loss=2.581e-03
Iteration (44000/100000): Loss=2.598e-03
Iteration (44100/100000): Loss=2.580e-03
Iteration (44200/100000): Loss=9.134e-03
Iteration (44300/100000): Loss=2.568e-03
Iteration (44400/100000): Loss=1.769e-01
Iteration (44500/100000): Loss=2.562e-03
Iteration (44600/100000): Loss=2.554e-03
Iteration (44700/100000): Loss=2.572e-03
Iteration (44800/100000): Loss=2.551e-03
Iteration (44900/100000): Loss=2.554e-03
Iteration (45000/100000): Loss=2.555e-03
Iteration (45100/100000): Loss=2.539e-03
Iteration (45200/100000): Loss=2.908e-03
Iteration (45300/100000): Loss=6.012e-02
Iteration (45400/100000): Loss=2.531e-03
Iteration (45500/100000): Loss=8.424e-02
Iteration (45600/100000): Loss=2.528e-03
Iteration (45700/100000): Loss=2.541e-03
Iteration (45800/100000): Loss=2.557e-03
Iteration (45900/100000): Loss=2.511e-03
Iteration (46000/100000): Loss=1.610e-02
Iteration (46100/100000): Loss=2.508e-03
Iteration (46200/100000): Loss=2.565e-03
Iteration (46300/100000): Loss=3.631e-03
Iteration (46400/100000): Loss=2.499e-03
Iteration (46500/100000): Loss=2.492e-03
Iteration (46600/100000): Loss=7.197e-03
Iteration (46700/100000): Loss=2.488e-03
Iteration (46800/100000): Loss=2.620e-03
Iteration (46900/100000): Loss=2.679e-03
Iteration (47000/100000): Loss=2.475e-03
Iteration (47100/100000): Loss=3.881e-03
Iteration (47200/100000): Loss=2.472e-03
Iteration (47300/100000): Loss=2.468e-03
Iteration (47400/100000): Loss=2.582e-03
Iteration (47500/100000): Loss=2.459e-03
Iteration (47600/100000): Loss=2.589e-03
Iteration (47700/100000): Loss=2.455e-03
Iteration (47800/100000): Loss=1.245e-01
Iteration (47900/100000): Loss=2.460e-03
Iteration (48000/100000): Loss=2.443e-03
Iteration (48100/100000): Loss=2.987e-03
Iteration (48200/100000): Loss=2.439e-03
Iteration (48300/100000): Loss=1.557e-02
Iteration (48400/100000): Loss=2.444e-03
Iteration (48500/100000): Loss=2.430e-03
Iteration (48600/100000): Loss=4.495e-03
Iteration (48700/100000): Loss=2.424e-03
Iteration (48800/100000): Loss=2.533e-03
Iteration (48900/100000): Loss=2.419e-03
Iteration (49000/100000): Loss=2.585e-03
Iteration (49100/100000): Loss=2.448e-03
Iteration (49200/100000): Loss=2.524e-03
Iteration (49300/100000): Loss=5.078e-02
Iteration (49400/100000): Loss=2.408e-03
Iteration (49500/100000): Loss=2.440e-03
Iteration (49600/100000): Loss=2.409e-03
Iteration (49700/100000): Loss=2.394e-03
Iteration (49800/100000): Loss=2.426e-03
Iteration (49900/100000): Loss=2.387e-03
Iteration (50000/100000): Loss=2.925e-03
Iteration (50100/100000): Loss=2.384e-03
Iteration (50200/100000): Loss=4.170e-02
Iteration (50300/100000): Loss=2.378e-03
Iteration (50400/100000): Loss=1.173e-02
Iteration (50500/100000): Loss=2.891e-03
Iteration (50600/100000): Loss=3.663e-02
Iteration (50700/100000): Loss=2.369e-03
Iteration (50800/100000): Loss=1.434e-02
Iteration (50900/100000): Loss=2.361e-03
Iteration (51000/100000): Loss=8.772e-03
Iteration (51100/100000): Loss=2.427e-03
Iteration (51200/100000): Loss=3.303e-03
Iteration (51300/100000): Loss=2.351e-03
Iteration (51400/100000): Loss=6.895e-03
Iteration (51500/100000): Loss=2.344e-03
Iteration (51600/100000): Loss=8.467e-03
Iteration (51700/100000): Loss=2.339e-03
Iteration (51800/100000): Loss=5.258e-02
Iteration (51900/100000): Loss=2.347e-03
Iteration (52000/100000): Loss=2.467e-03
Iteration (52100/100000): Loss=2.875e-03
Iteration (52200/100000): Loss=2.474e-03
Iteration (52300/100000): Loss=3.926e-03
Iteration (52400/100000): Loss=2.319e-03
Iteration (52500/100000): Loss=5.974e-03
Iteration (52600/100000): Loss=2.316e-03
Iteration (52700/100000): Loss=4.880e-03
Iteration (52800/100000): Loss=2.332e-03
Iteration (52900/100000): Loss=2.310e-03
Iteration (53000/100000): Loss=3.724e-02
Iteration (53100/100000): Loss=2.305e-03
Iteration (53200/100000): Loss=2.298e-03
Iteration (53300/100000): Loss=2.331e-03
Iteration (53400/100000): Loss=2.295e-03
Iteration (53500/100000): Loss=5.333e-03
Iteration (53600/100000): Loss=2.290e-03
Iteration (53700/100000): Loss=5.922e-02
Iteration (53800/100000): Loss=2.287e-03
