Trainable Param: 1021
Iteration (14600/20000): Loss=6.043e+01
Iteration (14700/20000): Loss=6.041e+01
Iteration (14800/20000): Loss=6.041e+01
Iteration (14900/20000): Loss=6.037e+01
Iteration (15000/20000): Loss=6.034e+01
Iteration (15100/20000): Loss=6.032e+01
Iteration (15200/20000): Loss=6.029e+01
Iteration (15300/20000): Loss=6.027e+01
Iteration (15400/20000): Loss=6.025e+01
Iteration (15500/20000): Loss=6.023e+01
Iteration (15600/20000): Loss=6.020e+01
Iteration (15700/20000): Loss=6.029e+01
Iteration (15800/20000): Loss=6.016e+01
Iteration (15900/20000): Loss=6.014e+01
Iteration (16000/20000): Loss=6.012e+01
Iteration (16100/20000): Loss=6.010e+01
Iteration (16200/20000): Loss=6.007e+01
Iteration (16300/20000): Loss=6.005e+01
Iteration (16400/20000): Loss=6.003e+01
Iteration (16500/20000): Loss=6.001e+01
Iteration (16600/20000): Loss=6.000e+01
Iteration (16700/20000): Loss=5.998e+01
Iteration (16800/20000): Loss=5.995e+01
Iteration (16900/20000): Loss=5.994e+01
Iteration (17000/20000): Loss=5.991e+01
Iteration (17100/20000): Loss=5.989e+01
Iteration (17200/20000): Loss=5.987e+01
Iteration (17300/20000): Loss=5.985e+01
Iteration (17400/20000): Loss=5.984e+01
Iteration (17500/20000): Loss=5.982e+01
Iteration (17600/20000): Loss=5.980e+01
Iteration (17700/20000): Loss=5.979e+01
Iteration (17800/20000): Loss=5.976e+01
Iteration (17900/20000): Loss=5.974e+01
Iteration (18000/20000): Loss=5.974e+01
Iteration (18100/20000): Loss=5.970e+01
Iteration (18200/20000): Loss=5.968e+01
Iteration (18300/20000): Loss=5.967e+01
Iteration (18400/20000): Loss=5.965e+01
Iteration (18500/20000): Loss=5.963e+01
Iteration (18600/20000): Loss=5.961e+01
Iteration (18700/20000): Loss=5.960e+01
Iteration (18800/20000): Loss=5.958e+01
Iteration (18900/20000): Loss=5.956e+01
Iteration (19000/20000): Loss=5.954e+01
Iteration (19100/20000): Loss=5.953e+01
Iteration (19200/20000): Loss=5.951e+01
Iteration (19300/20000): Loss=5.950e+01
Iteration (19400/20000): Loss=5.953e+01
Iteration (19500/20000): Loss=5.946e+01
Iteration (19600/20000): Loss=5.944e+01
Iteration (19700/20000): Loss=5.943e+01
Iteration (19800/20000): Loss=5.941e+01
Iteration (19900/20000): Loss=5.939e+01
Iteration (20000/20000): Loss=5.938e+01
Iteration (20000/20000): Loss=5.938e+01, L1 error=2.181e+00
Done. Took 291.107 seconds.
